dt	pCa	delta_hsl	mode
0.001	6.4	-0.00645048141382176	-2
0.001	6.4	-0.0422324853623195	-2
0.001	6.4	-0.0555517487102861	-2
0.001	6.4	-0.00923601855311063	-2
0.001	6.4	-0.0263942790802503	-2
0.001	6.4	-0.0448331108159437	-2
0.001	6.4	-0.0460591737755749	-2
0.001	6.4	0.00700647172266144	-2
0.001	6.4	0.0381158880970816	-2
0.001	6.4	-0.0124559363418939	-2
0.001	6.4	-0.00730273389285685	-2
0.001	6.4	0.0127155664135898	-2
0.001	6.4	0.0466259822367192	-2
0.001	6.4	0.0605038766884718	-2
0.001	6.4	5.67651834444405e-05	-2
0.001	6.4	0.00254764984606481	-2
0.001	6.4	0.0653768550685072	-2
0.001	6.4	0.0520290207002745	-2
0.001	6.4	-0.0519785794149357	-2
0.001	6.4	-0.0321890644152063	-2
0.001	6.4	-0.0383908852140848	-2
0.001	6.4	-0.023297447553432	-2
0.001	6.4	-0.0808784405480765	-2
0.001	6.4	-0.0191253529667392	-2
0.001	6.4	-0.0185096848949797	-2
0.001	6.4	-0.00706029910884354	-2
0.001	6.4	-0.0050083411867945	-2
0.001	6.4	0.00652321885399942	-2
0.001	6.4	0.0162926261530174	-2
0.001	6.4	0.0783970333268371	-2
0.001	6.4	0.0459870373440481	-2
0.001	6.4	-0.027589288531999	-2
0.001	6.4	0.00986648488265018	-2
0.001	6.4	0.0567462145932041	-2
0.001	6.4	-0.0371658911815302	-2
0.001	6.4	-0.0811304578446652	-2
0.001	6.4	0.0298430270054268	-2
0.001	6.4	-0.0183958070920198	-2
0.001	6.4	-0.00110220617307277	-2
0.001	6.4	-0.0226288416997704	-2
0.001	6.4	-0.021926995452759	-2
0.001	6.4	0.00156825674957872	-2
0.001	6.4	0.0963754084893935	-2
0.001	6.4	0.0267870780669455	-2
0.001	6.4	0.0779266972383539	-2
0.001	6.4	0.0624177693678121	-2
0.001	6.4	0.0539287483516091	-2
